Ciudad,Pais
Aberdeen,United Kingdom
Albion,United States
Arlington,United States
Beavercreek,United States
Beckley,United States
Bedford Heights,United States
Big Rapids,United States
Big Spring,United States
Birmingham,United Kingdom
Blackburn,United Kingdom
Bolton,United Kingdom
Bournemouth,United Kingdom
Bradford,United States
Breese,United States
Brenham,United States
Brigantine,United States
Brighton,United Kingdom
Bristol,United Kingdom
Brookings,United States
Cahokia,United States
Canal Fulton,United States
Cathedral City,United States
Champlin,United States
Chehalis,United States
Chickasaw,United States
Clarksville,United States
Clayton,United States
Colchester,United Kingdom
Concord,United States
Coventry,United Kingdom
Crawley,United States
Derby,United States
Dublin,United States
Dudley,United Kingdom
Eastbourne,United States
Exeter,United Kingdom
Fair Haven,United States
Gloucester,United Kingdom
Hoopeston,United States
Huddersfield,United Kingdom
Ipswich,United States
Kings Point,United Kingdom
Kingston upon Hull,United Kingdom
Leeds,United Kingdom
Leicester,United States
Lewisville,United States
Lincoln Park,United States
Lindale,United States
Liverpool,United Kingdom
Lompoc,United States
London,United Kingdom
Luton,United Kingdom
Madisonville,United States
Mahtomedi,United States
Manchester,United States
Merrill,United States
Middlesbrough,United Kingdom
Milton Keynes,United Kingdom
Mount Horeb,United States
Newcastle upon Tyne,United Kingdom
North Richland Hills,United States
Northampton,United Kingdom
Norwich,United Kingdom
Oxford,United Kingdom
Park Ridge,United States
Peterborough,United Kingdom
Philadelphia,United States
Pleasant Prairie,United States
Plymouth,United Kingdom
Poole,United Kingdom
Portsmouth,United States
Reading,United Kingdom
Ringwood,United States
San Angelo,United States
Scottdale,United States
Sheffield,United Kingdom
Sheridan,United States
Slough,United Kingdom
Snoqualmie,United States
Southampton,United Kingdom
Southend-on-Sea,United States
St Helens,United Kingdom
Star,United States
Stoke-on-Trent,United Kingdom
Sunderland,United States
Sutton Coldfield,United Kingdom
Swindon,United Kingdom
Telford,United Kingdom
Valdosta,United States
Wabash,United States
Walnut Ridge,United States
Walsall,United Kingdom
Watford,United Kingdom
West Bromwich,United Kingdom
Williams,United States
Winthrop Harbor,United States
Wolverhampton,United States
York,United Kingdom
